Title,Author,Publisher,,Description,Language,Quantity,Date,Year_of_publication,Description,Duration
QuakerSpeak Weekly videos,Friends General Conference,Friends General Conference,,,,1,,,,
Presentations for the Uranium Working Group made at Canadian Yearly Meeting 2009,Lee Webb,Canadian Friends Service Committee,,Testimonies,,1,2022-09-04,2009,,3.5 hours
That of God,Chanda Chevannes,PPC,,Biography,,1,,2009,Jane Orion Smith,
